k;description;category
600544;Fabrics: warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, of artificial fibres, printed;container
600590;Fabrics: warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, excluding those made from cotton or synthetic or artificial fibres;container
600610;Fabrics: knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of wool or fine animal hair;container
600621;Fabrics: knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of cotton, unbleached or bleached;container
600622;Fabrics: knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of cotton, dyed;container
600623;Fabrics: knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of cotton, of yarns of different colours;container
600624;Fabrics: knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of cotton, printed;container
600631;Fabrics: knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of synthetic fibres, unbleached or bleached;container
600632;Fabrics: knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of synthetic fibres, dyed;container
600633;Fabrics: knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of synthetic fibres, of yarns of different colours;container
600634;Fabrics: knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of synthetic fibres, printed;container
600641;Fabrics: knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of artificial fibres, unbleached or bleached;container
600642;Fabrics: knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of artificial fibres, dyed;container
600643;Fabrics: knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of artificial fibres, of yarns of different colours;container
600644;Fabrics: knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of artificial fibres, printed;container
600690;Fabrics: knitted or crocheted fabrics, other than those of headings 60.01 to 60.04,and other than those made of wool, fine animal hair, cotton, synthetic or artificial fibres;container
610120;Coats: men's or boys' overcoats, car-coats, capes, anoraks, wind-jackets and similar articles, of cotton, knitted or crocheted (excluding those of heading no. 6103);container
610130;Coats: men's or boys' overcoats, car-coats, capes, anoraks, wind-jackets and similar articles, of man-made fibres, knitted or crocheted, (excluding those of heading no. 6103);container
610190;Coats: men's or boys' overcoats, car-coats, capes, anoraks, wind-jackets and similar articles, of textile materials n.e.c. in heading no. 6101, knitted or crocheted (excluding those of heading no. 6103);container
610210;Coats: women's or girls' overcoats, car-coats, capes, anoraks, wind-jackets and similar articles, of wool or fine animal hair, knitted or crocheted (excluding those of heading no. 6104);container
610220;Coats: women's or girls' overcoats, car-coats, capes, anoraks, wind-jackets and similar articles, of cotton, knitted or crocheted (excluding those of heading no. 6104);container
610230;Coats: women's or girls' overcoats, car-coats, capes, anoraks, wind-jackets and similar articles, of man-made fibres, knitted or crocheted (excluding those of heading no. 6104);container
610290;Coats: women's or girls' overcoats, car-coats, capes, anoraks, wind-jackets and similar articles, of textile materials n.e.c. in heading no. 6102, knitted or crocheted (excluding those of heading no. 6104);container
610310;Suits: men's or boys', knitted or crocheted;container
610322;Ensembles: men's or boys', of cotton, knitted or crocheted;container
610323;Ensembles: men's or boys', of synthetic fibres, knitted or crocheted;container
610329;Ensembles: men's or boys', of textile materials (other than cotton or synthetic fibres), knitted or crocheted;container
610331;Jackets and blazers: men's or boys', of wool or fine animal hair, knitted or crocheted;container
610332;Jackets and blazers: men's or boys', of cotton, knitted or crocheted;container
610333;Jackets and blazers: men's or boys', of synthetic fibres, knitted or crocheted;container
610339;Jackets and blazers: men's or boys', of textile materials (other than wool or fine animal hair, cotton or synthetic fibres), knitted or crocheted;container
610341;Trousers, bib and brace overalls, breeches and shorts: men's or boys', of wool or fine animal hair, knitted or crocheted;container
610342;Trousers, bib and brace overalls, breeches and shorts: men's or boys', of cotton, knitted or crocheted;container
610343;Trousers, bib and brace overalls, breeches and shorts: men's or boys', of synthetic fibres, knitted or crocheted;container
610349;Trousers, bib and brace overalls, breeches and shorts: men's or boys', of textile materials (other than wool or fine animal hair, cotton or synthetic fibres), knitted or crocheted;container
610413;Suits: women's or girls', of synthetic fibres, knitted or crocheted;container
610419;Suits: women's or girls', of textile materials (other than synthetic fibres), knitted or crocheted;container
610422;Ensembles: women's or girls', of cotton, knitted or crocheted;container
610423;Ensembles: women's or girls', of synthetic fibres, knitted or crocheted;container
610429;Ensembles: women's or girls', of textile materials (other than cotton or synthetic fibres), knitted or crocheted;container
610431;Jackets: women's or girls', of wool or fine animal hair, knitted or crocheted;container
610432;Jackets: women's or girls', of cotton, knitted or crocheted;container
610433;Jackets: women's or girls', of synthetic fibres, knitted or crocheted;container
610439;Jackets: women's or girls', of textile materials (other than wool or fine animal hair, cotton or synthetic fibres), knitted or crocheted;container
610441;Dresses: women's or girls', of wool or fine animal hair, knitted or crocheted;container
610442;Dresses: women's or girls', of cotton, knitted or crocheted;container
610443;Dresses: women's or girls', of synthetic fibres, knitted or crocheted;container
610444;Dresses: women's or girls', of artificial fibres, knitted or crocheted;container
610449;Dresses: women's or girls', of textile materials (other than wool or fine animal hair, cotton, synthetic or artificial fibres), knitted or crocheted;container
610451;Skirts and divided skirts: women's or girls', of wool or fine animal hair, knitted or crocheted;container
610452;Skirts and divided skirts: women's or girls', of cotton, knitted or crocheted;container
610453;Skirts and divided skirts: women's or girls', of synthetic fibres, knitted or crocheted;container
610459;Skirts and divided skirts: women's or girls', of textile materials (other than wool or fine animal hair, cotton or synthetic fibres), knitted or crocheted;container
610461;Trousers, bib and brace overalls, breeches and shorts: women's or girls', of wool or fine animal hair, knitted or crocheted;container
610462;Trousers, bib and brace overalls, breeches and shorts: women's or girls', of cotton, knitted or crocheted;container
610463;Trousers, bib and brace overalls, breeches and shorts: women's or girls', of synthetic fibres, knitted or crocheted;container
610469;Trousers, bib and brace overalls, breeches and shorts: women's or girls', of textile materials (other than wool or fine animal hair, cotton or synthetic fibres), knitted or crocheted;container
610510;Shirts: men's or boys', of cotton, knitted or crocheted;container
610520;Shirts: men's or boys', of man-made fibres, knitted or crocheted;container
610590;Shirts: men's or boys', of textile materials (other than cotton or man-made fibres), knitted or crocheted;container
610610;Blouses, shirts and shirt-blouses: women's or girls', of cotton, knitted or crocheted;container
610620;Blouses, shirts and shirt-blouses: women's or girls', of man-made fibres, knitted or crocheted;container
610690;Blouses, shirts and shirt-blouses: women's or girls', of textile materials (other than cotton or man-made fibres), knitted or crocheted;container
610711;Underpants and briefs: men's or boys', of cotton, knitted or crocheted;container
610712;Underpants and briefs: men's or boys', of man-made fibres, knitted or crocheted;container
610719;Underpants and briefs: men's or boys', of textile materials (other than cotton or man-made fibres), knitted or crocheted;container
610721;Nightshirts and pyjamas: men's or boys', of cotton, knitted or crocheted;container
610722;Nightshirts and pyjamas: men's or boys', of man-made fibres, knitted or crocheted;container
610729;Nightshirts and pyjamas: men's or boys', of textile materials (other than cotton or man-made fibres), knitted or crocheted;container
610791;Bathrobes, dressing gowns and similar articles: men's or boys', of cotton, knitted or crocheted;container
610799;Bathrobes, dressing gowns and similar articles: men's or boys', of textile materials (other than cotton), knitted or crocheted;container
610811;Slips and petticoats: women's or girls', of man-made fibres, knitted or crocheted;container
610819;Slips and petticoats: women's or girls', of textile materials (other than man-made fibres), knitted or crocheted;container
610821;Briefs and panties: women's or girls', of cotton, knitted or crocheted;container
610822;Briefs and panties: women's or girls', of man-made fibres, knitted or crocheted;container
610829;Briefs and panties: women's or girls', of textile materials (other than cotton or man-made fibres), knitted or crocheted;container
610831;Nightdresses and pyjamas: women's or girls', of cotton, knitted or crocheted;container
610832;Nightdresses and pyjamas: women's or girls', of man-made fibres, knitted or crocheted;container
610839;Nightdresses and pyjamas: women's or girls', of textile materials (other than cotton or man-made fibres), knitted or crocheted;container
610891;Negligees, bathrobes, dressing gowns and similar articles: women's or girls', of cotton, knitted or crocheted;container
610892;Negligees, bathrobes, dressing gowns and similar articles: women's or girls', of man-made fibres, knitted or crocheted;container
610899;Negligees, bathrobes, dressing gowns and similar articles: women's or girls', of textile materials (other than cotton or man-made fibres), knitted or crocheted;container
610910;T-shirts, singlets and other vests: of cotton, knitted or crocheted;container
610990;T-shirts, singlets and other vests: of textile materials (other than cotton), knitted or crocheted;container
611011;Jerseys, pullovers, cardigans, waistcoats and similar articles: knitted or crocheted, of wool or fine animal hair;container
611012;Jerseys, pullovers, cardigans, waistcoats and similar articles: knitted or crocheted, of fibres from kashmir (cashmere) goats;container
611019;Jerseys, pullovers, cardigans, waistcoats and similar articles: knitted or crocheted, of fine animal hair other than that of kashmir (cashmere) goats;container
611020;Jerseys, pullovers, cardigans, waistcoats and similar articles: of cotton, knitted or crocheted;container
611030;Jerseys, pullovers, cardigans, waistcoats and similar articles: of man-made fibres, knitted or crocheted;container
611090;Jerseys, pullovers, cardigans, waistcoats and similar articles: of textile materials (other than wool or fine animal hair, cotton or man-made fibres), knitted or crocheted;container
611120;Garments and clothing accessories: babies', of cotton, knitted or crocheted;container
611130;Garments and clothing accessories: babies', of synthetic fibres, knitted or crocheted;container
611190;Garments and clothing accessories: babies', of textile materials (other than cotton or synthetic fibres), knitted or crocheted;container
611211;Track suits: of cotton, knitted or crocheted;container
611212;Track suits: of synthetic fibres, knitted or crocheted;container
611219;Track suits: of textile materials (other than cotton or synthetic fibres), knitted or crocheted;container
611220;Ski suits: knitted or crocheted;container
611231;Swimwear: men's or boys', of synthetic fibres, knitted or crocheted;container
611239;Swimwear: men's or boys', of textile materials (other than synthetic fibres), knitted or crocheted;container
611241;Swimwear: women's or girls', of synthetic fibres, knitted or crocheted;container
611249;Swimwear: women's or girls', of textile materials (other than synthetic fibres), knitted or crocheted;container
611300;Garments made up of knitted or crocheted fabrics of heading no. 5903, 5906 and 5907;container
611420;Garments: of cotton, knitted or crocheted, n.e.c. in chapter 61;container
611430;Garments: of man-made fibres, knitted or crocheted, n.e.c. in chapter 61;container
611490;Garments: of textile materials (other than cotton or man-made fibres), knitted or crocheted, n.e.c. in chapter 61;container
611510;Graduated compression hosiery (for example, stockings for varicose veins), knitted or crocheted;container
611521;Hosiery: panty hose and tights (other than graduated compression hosiery), of synthetic fibres, measuring per single yarn less than 67 decitex, knitted or crocheted;container
611522;Hosiery: panty hose and tights (other than graduated compression hosiery), of synthetic fibres, measuring per single yarn 67 decitex or more, knitted or crocheted;container
611529;Hosiery: panty hose and tights (other than graduated compression hosiery), of textile materials (other than synthetic fibres), knitted or crocheted;container
611530;Hosiery: women's, full-length or knee-length (other than graduated compression hosiery), measuring per single yarn less than 67 decitex, knitted or crocheted;container
611594;Hosiery and footwear: without applied soles, of wool or fine animal hair, knitted or crocheted (excluding graduated compression hosiery, panty hose, tights, women's full or knee-length hosiery measuring per single yarn less than 67 decitex);container
611595;Hosiery and footwear: without applied soles, of cotton, knitted or crocheted (excluding graduated compression hosiery, panty hose, tights, full or knee-length hosiery measuring per single yarn less than 67 decitex);container
611596;Hosiery and footwear: without applied soles, of synthetic fibres, knitted or crocheted (excluding graduated compression hosiery, panty hose, tights, full or knee-length hosiery measuring per single yarn less than 67 decitex);container
611599;Hosiery and footwear: without applied soles, of textile materials n.e.c. in item no. 6115.9, knitted or crocheted (excluding graduated compression hosiery, panty hose, tights, full or knee-length hosiery measuring per single yarn less than 67 decitex);container
611610;Gloves, mittens and mitts: knitted or crocheted, impregnated, coated or covered with plastics or rubber;container
611691;Gloves, mittens and mitts: of wool or fine animal hair, knitted or crocheted, (other than impregnated, coated or covered with plastics or rubber);container
611692;Gloves, mittens and mitts: of cotton, knitted or crocheted, (other than impregnated, coated or covered with plastics or rubber);container
611693;Gloves, mittens and mitts: of synthetic fibres, knitted or crocheted, (other than impregnated, coated or covered with plastics or rubber);container
611699;Gloves, mittens and mitts: of textile materials (other than wool or fine animal hair, cotton or synthetic fibres), knitted or crocheted, (other than impregnated, coated or covered with plastics or rubber);container
611710;Shawls, scarves, mufflers, mantillas, veils and the like: knitted or crocheted;container
611780;Clothing accessories: knitted or crocheted, n.e.c. in heading no. 6117;container
611790;Clothing: parts, knitted or crocheted;container
620111;Coats: men's or boys', overcoats, raincoats, car-coats, capes, cloaks and similar articles, of wool or fine animal hair, other than those of heading no. 6203 (not knitted or crocheted);container
620112;Coats: men's or boys', overcoats, raincoats, car-coats, capes, cloaks and similar articles, of cotton, other than those of heading no. 6203 (not knitted or crocheted);container
620113;Coats: men's or boys', overcoats, raincoats, car-coats, capes, cloaks and similar articles, of man-made fibres, other than those of heading no. 6203 (not knitted or crocheted);container
620119;Coats: men's or boys', overcoats, raincoats, car-coats, capes, cloaks and similar articles, of textile materials (other than wool or fine animal hair, cotton or man-made fibres), other than those of heading no. 6203 (not knitted or crocheted);container
620191;Anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles: men's or boys', of wool or fine animal hair, other than those of heading no. 6203 (not knitted or crocheted);container
620192;Anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles: men's or boys', of cotton, other than those of heading no. 6203 (not knitted or crocheted);container
620193;Anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles: men's or boys', of man-made fibres, other than those of heading no. 6203 (not knitted or crocheted);container
620199;Anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles: men's or boys', of textile materials (other than wool or fine animal hair, cotton or man-made fibres), other than those of heading no. 6203 (not knitted or crocheted);container
620211;Coats: women's or girls', overcoats, raincoats, car-coats, capes, cloaks and similar articles, of wool or fine animal hair, other than those of heading no. 6204 (not knitted or crocheted);container
620212;Coats: women's or girls', overcoats, raincoats, car-coats, capes, cloaks and similar articles, of cotton, other than those of heading no. 6204 (not knitted or crocheted);container
620213;Coats: women's or girls', overcoats, raincoats, car-coats, capes, cloaks and similar articles, of man-made fibres, other than those of heading no. 6204 (not knitted or crocheted);container
620219;Coats: women's or girls', overcoats, raincoats, car-coats, capes, cloaks and similar articles, of textile materials (other than wool or fine animal hair, cotton or man-made fibres), other than those of heading no. 6204 (not knitted or crocheted);container
620291;Anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles: women's or girls', of wool or fine animal hair, other than those of heading no. 6204 (not knitted or crocheted);container
620292;Anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles: women's or girls', of cotton, other than those of heading no. 6204 (not knitted or crocheted);container
620293;Anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles: women's or girls', of man-made fibres, other than those of heading no. 6204 (not knitted or crocheted);container
620299;Anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles: women's or girls', of textile materials n.e.c. in item no. 6202.9, other than those of heading no. 6204, (not knitted or crocheted);container
620311;Suits: men's or boys', of wool or fine animal hair (not knitted or crocheted);container
620312;Suits: men's or boys', of synthetic fibres (not knitted or crocheted);container
620319;Suits: men's or boys', of textile materials n.e.c. in item no. 6203.1 (not knitted or crocheted);container
620322;Ensembles: men's or boys', of cotton (not knitted or crocheted);container
620323;Ensembles: men's or boys', of synthetic fibres (not knitted or crocheted);container
620329;Ensembles: men's or boys', of textile materials n.e.c. in item no. 6203.2 (not knitted or crocheted);container
620331;Jackets and blazers: men's or boys', of wool or fine animal hair (not knitted or crocheted);container
620332;Jackets and blazers: men's or boys', of cotton (not knitted or crocheted);container
620333;Jackets and blazers: men's or boys', of synthetic fibres (not knitted or crocheted);container
620339;Jackets and blazers: men's or boys', of textile materials n.e.c. in item no. 6203.3 (not knitted or crocheted);container
620341;Trousers, bib and brace overalls, breeches and shorts: men's or boys', of wool or fine animal hair (not knitted or crocheted);container
620342;Trousers, bib and brace overalls, breeches and shorts: men's or boys', of cotton (not knitted or crocheted);container
620343;Trousers, bib and brace overalls, breeches and shorts: men's or boys', of synthetic fibres (not knitted or crocheted);container
620349;Trousers, bib and brace overalls, breeches and shorts: men's or boys', of textile materials (other than wool, fine animal hair, cotton or synthetic fibres), (not knitted or crocheted);container
620411;Suits: women's or girls', of wool or fine animal hair (not knitted or crocheted);container
620412;Suits: women's or girls', of cotton (not knitted or crocheted);container
620413;Suits: women's or girls', of synthetic fibres (not knitted or crocheted);container
620419;Suits: women's or girls', of textile materials n.e.c. in item no. 6204.1 (not knitted or crocheted);container
620421;Ensembles: women's or girls', of wool or fine animal hair (not knitted or crocheted);container
620422;Ensembles: women's or girls', of cotton (not knitted or crocheted);container
620423;Ensembles: women's or girls', of synthetic fibres (not knitted or crocheted);container
620429;Ensembles: women's or girls', of textile materials n.e.c. in item no. 6204.2 (not knitted or crocheted);container
620431;Jackets and blazers: women's or girls', of wool or fine animal hair (not knitted or crocheted);container
620432;Jackets and blazers: women's or girls', of cotton (not knitted or crocheted);container
620433;Jackets and blazers: women's or girls', of synthetic fibres (not knitted or crocheted);container
620439;Jackets and blazers: women's or girls', of textile materials n.e.c. in item no. 6204.3 (not knitted or crocheted);container
620441;Dresses: women's or girls', of wool or fine animal hair (not knitted or crocheted);container
620442;Dresses: women's or girls', of cotton (not knitted or crocheted);container
620443;Dresses: women's or girls', of synthetic fibres (not knitted or crocheted);container
620444;Dresses: women's or girls', of artificial fibres (not knitted or crocheted);container
620449;Dresses: women's or girls', of textile materials n.e.c. in item no. 6204.4 (not knitted or crocheted);container
620451;Skirts and divided skirts: women's or girls', of wool or fine animal hair (not knitted or crocheted);container
620452;Skirts and divided skirts: women's or girls', of cotton (not knitted or crocheted);container
620453;Skirts and divided skirts: women's or girls', of synthetic fibres (not knitted or crocheted);container
620459;Skirts and divided skirts: women's or girls', of textile materials n.e.c. in item no. 6204.5 (not knitted or crocheted);container
620461;Trousers, bib and brace overalls, breeches and shorts: women's or girls', of wool or fine animal hair (not knitted or crocheted);container
620462;Trousers, bib and brace overalls, breeches and shorts: women's or girls', of cotton (not knitted or crocheted);container
620463;Trousers, bib and brace overalls, breeches and shorts: women's or girls', of synthetic fibres (not knitted or crocheted);container
620469;Trousers, bib and brace overalls, breeches and shorts: women's or girls', of textile materials (other than wool, fine animal hair, cotton or synthetic fibres), (not knitted or crocheted);container
620520;Shirts: men's or boys', of cotton (not knitted or crocheted);container
620530;Shirts: men's or boys', of man-made fibres (not knitted or crocheted);container
620590;Shirts: men's or boys', of textile materials n.e.c. in heading no. 6205 (not knitted or crocheted);container
620610;Blouses, shirts and shirt-blouses: women's or girls', of silk or silk waste (not knitted or crocheted);container
620620;Blouses, shirts and shirt-blouses: women's or girls', of wool or fine animal hair (not knitted or crocheted);container
620630;Blouses, shirts and shirt-blouses: women's or girls', of cotton (not knitted or crocheted);container
620640;Blouses, shirts and shirt-blouses: women's or girls', of man-made fibres (not knitted or crocheted);container
620690;Blouses, shirts and shirt-blouses: women's or girls', of textile materials n.e.c. in heading no. 6206 (not knitted or crocheted);container
620711;Underpants and briefs: men's or boys', of cotton (not knitted or crocheted);container
620719;Underpants and briefs: men's or boys', of textile materials other than cotton (not knitted or crocheted);container
620721;Nightshirts and pyjamas: men's or boys', of cotton (not knitted or crocheted);container
620722;Nightshirts and pyjamas: men's or boys', of man-made fibres (not knitted or crocheted);container
620729;Nightshirts and pyjamas: men's or boys', of textile materials other than cotton or man-made fibres (not knitted or crocheted);container
620791;Singlets and other vests, bathrobes, dressing gowns and similar articles: men's or boys', of cotton (not knitted or crocheted);container
620799;Singlets and other vests, bathrobes, dressing gowns and similar articles: men's or boys', of textile materials other than cotton (not knitted or crocheted);container
620811;Slips and petticoats: women's or girls', of man-made fibres (not knitted or crocheted);container
620819;Slips and petticoats: women's or girls', of textile materials other than man-made fibres (not knitted or crocheted);container
620821;Nightdresses and pyjamas: women's or girls', of cotton (not knitted or crocheted);container
620822;Nightdresses and pyjamas: women's or girls', of man-made fibres (not knitted or crocheted);container
620829;Nightdresses and pyjamas: women's or girls', of textile materials other than cotton or man-made fibres (not knitted or crocheted);container
620891;Singlets and other vests, briefs, panties, negligees, bathrobes, dressing gowns and similar articles: women's or girls', of cotton (not knitted or crocheted);container
620892;Singlets and other vests, briefs, panties, negligees, bathrobes, dressing gowns etc.: women's or girls', of man-made fibres (not knitted or crocheted), excluding incontinence or other sanitary garments or garment liners of heading no. 96.19;container
620899;Singlets and other vests, briefs, panties, negligees, bathrobes, dressing gowns and similar articles: women's or girls', of textile materials other than cotton or man-made fibres (not knitted or crocheted);container
620920;Garments and clothing accessories: babies', of cotton (not knitted or crocheted);container
620930;Garments and clothing accessories: babies', of synthetic fibres (not knitted or crocheted);container
620990;Garments and clothing accessories: babies', of textile materials other than cotton or synthetic fibres (not knitted or crocheted);container
621010;Garments: of felt or non-wovens (not knitted or crocheted);container
621020;Garments: overcoats, raincoats, car-coats, capes, cloaks and similar articles, men's or boys', of the fabrics of heading no. 5602, 5603, 5903, 5906 or 5907 (not knitted or crocheted);container
621030;Garments: overcoats, raincoats, car-coats, capes, cloaks and similar articles, women's or girls', of the fabrics of heading no. 5602, 5603, 5903, 5906 or 5907 (not knitted or crocheted);container
621040;Garments: men's or boys', n.e.c. in item no. 6210.2, of the fabrics of heading no. 5602, 5603, 5903, 5906 or 5907 (not knitted or crocheted);container
621050;Garments: women's or girls', n.e.c. in item no. 6210.3, of the fabrics of heading no. 5602, 5603, 5903, 5906 or 5907 (not knitted or crocheted);container
621111;Swimwear: men's or boys', (not knitted or crocheted);container
621112;Swimwear: women's or girls', (not knitted or crocheted);container
621120;Ski suits: (not knitted or crocheted);container
621132;Track suits and other garments n.e.c.: men's or boys', of cotton (not knitted or crocheted);container
621133;Track suits and other garments n.e.c.: men's or boys', of man-made fibres (not knitted or crocheted);container
621139;Track suits and other garments n.e.c.: men's or boys', of textile materials n.e.c. in item no. 6211.3 (not knitted or crocheted);container
621142;Track suits and other garments n.e.c.: women's or girls', of cotton (not knitted or crocheted);container
621143;Track suits and other garments n.e.c.: women's or girls', of man-made fibres (not knitted or crocheted);container
621149;Track suits and other garments n.e.c.: women's or girls', of textile materials n.e.c. in item no. 6211.4 (not knitted or crocheted);container
621210;Brassieres: whether or not knitted or crocheted;container
621220;Girdles and panty-girdles: whether or not knitted or crocheted;container
621230;Corselettes: whether or not knitted or crocheted;container
621290;Braces, suspenders, garters and similar articles: whether or not knitted or crocheted, n.e.c. in heading no. 6212;container
621320;Handkerchiefs: of cotton (not knitted or crocheted);container
621390;Handkerchiefs: of textile materials other than cotton (not knitted or crocheted);container
621410;Shawls, scarves, mufflers, mantillas, veils and the like: of silk or silk waste (not knitted or crocheted);container
621420;Shawls, scarves, mufflers, mantillas, veils and the like: of wool or fine animal hair (not knitted or crocheted);container
621430;Shawls, scarves, mufflers, mantillas, veils and the like: of synthetic fibres (not knitted or crocheted);container
621440;Shawls, scarves, mufflers, mantillas, veils and the like: of artificial fibres (not knitted or crocheted);container
621490;Shawls, scarves, mufflers, mantillas, veils and the like: of textile materials n.e.c. in heading no. 6214 (not knitted or crocheted);container
621510;Ties, bow ties and cravats: of silk or silk waste (not knitted or crocheted);container
621520;Ties, bow ties and cravats: of man-made fibres (not knitted or crocheted);container
621590;Ties, bow ties and cravats: of textile materials other than silk or man-made fibres (not knitted or crocheted);container
621600;Gloves, mittens and mitts (not knitted or crocheted);container
621710;Clothing accessories: other than those of heading no. 6212 (not knitted or crocheted);container
621790;Clothing: parts of garments or of clothing accessories, other than those of heading no. 6212 (not knitted or crocheted);container
630110;Blankets: electric;container
630120;Blankets (other than electric blankets) and travelling rugs: of wool or fine animal hair;container
630130;Blankets (other than electric blankets) and travelling rugs: of cotton;container
630140;Blankets (other than electric blankets) and travelling rugs: of synthetic fibres;container
630190;Blankets and travelling rugs: n.e.c. in heading no. 6301;container
630210;Bed linen: knitted or crocheted;container
630221;Bed linen: of cotton, printed, not knitted or crocheted;container
630222;Bed linen: of man-made fibres, printed, not knitted or crocheted;container
630229;Bed linen: of textile materials (other than cotton or man-made fibres), printed, not knitted or crocheted;container
630231;Bed linen: of cotton (not printed, knitted or crocheted);container
630232;Bed linen: of man-made fibres (not printed, knitted or crocheted);container
630239;Bed linen: of textile materials other than cotton or man-made fibres (not printed, knitted or crocheted);container
630240;Table linen: knitted or crocheted;container
630251;Table linen: of cotton, not knitted or crocheted;container
630253;Table linen: of man-made fibres, not knitted or crocheted;container
630259;Table linen: of textile materials (other than cotton or man-made fibres), not knitted or crocheted;container
630260;Kitchen and toilet linen: of terry towelling or similar terry fabrics, of cotton;container
630291;Toilet and kitchen linen: of cotton, excluding terry towelling or similar terry fabrics;container
630293;Toilet and kitchen linen: of man-made fibres;container
630299;Toilet and kitchen linen: of textile materials (other than cotton or man-made fibres);container
630312;Curtains (including drapes) and interior blinds: curtain or bed valances, knitted or crocheted, of synthetic fibres;container
630319;Curtains (including drapes) and interior blinds: curtain or bed valances, knitted or crocheted, of textile materials other than synthetic fibres;container
630391;Curtains (including drapes) and interior blinds, curtain or bed valances: of cotton, not knitted or crocheted;container
630392;Curtains (including drapes) and interior blinds, curtain or bed valances: of synthetic fibres, not knitted or crocheted;container
630399;Curtains (including drapes) and interior blinds, curtain or bed valances: of textile materials other than cotton or synthetic fibres, not knitted or crocheted;container
630411;Bedspreads: knitted or crocheted;container
630419;Bedspreads: not knitted or crocheted;container
630420;Furnishing articles: excluding those of heading no. 9404, bed nets, specified in Subheading Note 1 to this Chapter;container
630491;Furnishing articles: excluding those of heading no. 9404, n.e.c. in heading 6304, knitted or crocheted;container
630492;Furnishing articles: of cotton, not knitted or crocheted (excluding bedspreads and articles of heading no. 9404);container
630493;Furnishing articles: of synthetic fibres, not knitted or crocheted (excluding bedspreads and articles of heading no. 9404);container
630499;Furnishing articles: of textile materials other than cotton or synthetic fibres, not knitted or crocheted (excluding bedspreads and articles of heading no. 9404);container
630510;Sacks and bags: of a kind used for the packing of goods, of jute or of other textile bast fibres of heading no. 5303;container
630520;Sacks and bags: of a kind used for the packing of goods, of cotton;container
630532;Sacks and bags: of a kind used for the packing of goods, of man-made textile materials, flexible intermediate bulk containers;container
630533;Sacks and bags: of a kind used for the packing of goods, of man-made textile materials, of polyethylene or polypropylene strip or the like, not flexible intermediate bulk containers;container
630539;Sacks and bags: of a kind used for the packing of goods, of man-made textile materials, not of polyethylene or polypropylene strip or the like, not flexible intermediate bulk containers;container
630590;Sacks and bags: of a kind used for the packing of goods, of textile materials (other than jute, cotton or man-made textile materials);container
630612;Tarpaulins, awnings and sunblinds: of synthetic fibres;container
630619;Tarpaulins, awnings and sunblinds: of textile materials other than synthetic fibres;container
630622;Tents: of synthetic fibres;container
630629;Tents: of textile materials other than synthetic fibres;container
630630;Sails: for boats, sailboards or landcraft;container
630640;Camping goods: pneumatic mattresses;container
630690;Camping goods: (of textile materials), n.e.c in heading no. 6306;container
630710;Cloths: floor cloths, dish-cloths, dusters and similar cleaning cloths;container
630720;Life-jackets and life-belts;container
630790;Textiles: made up articles (including dress patterns), n.e.c. in chapter 63, n.e.c. in heading no. 6307;container
630800;Fabrics, woven and yarn: in sets, whether or not with accessories, for making up into rugs, tapestries, embroidered table cloths or serviettes or similar textile articles, packaged for retail sale;container
630900;Clothing: worn, and other worn articles;container
631010;Rags: used or new, scrap twine, cordage, rope and cables and worn out articles of twine, cordage, rope or cables, of textile materials: sorted;container
631090;Rags: used or new, scrap twine, cordage, rope and cables and worn out articles of twine, cordage, rope or cables, of textile materials: other than sorted;container
640110;Footwear: waterproof with metal toe-cap, rubber or plastic outer soles and uppers (not assembled by stitch, rivet, nail, screw, plug or similar);container
640192;Footwear: waterproof, covering the ankle (but not the knee), rubber or plastic outer soles and uppers (not assembled by stitch, rivet, nail, screw, plug or similar);container
640199;Footwear: waterproof, n.e.c. in heading no. 6401, rubber or plastic outer soles and uppers (not assembled by stitch, rivet, nail, screw, plug or similar);container
640212;Sports footwear: with outer soles and uppers of rubber or plastics, ski-boots, cross-country ski footwear and snowboard boots;container
640219;Sports footwear: (other than ski-boots, snowboard boots or cross-country ski footwear), with outer soles and uppers of rubber or plastics;container
640220;Footwear: with outer soles and uppers of rubber or plastics, upper straps or thongs assembled to the sole by plugs;container
